No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight	0)	0.0	0	0316	8	45	22	7C	0A	22	1E	00	7F
1)	0.0	0	0260	8	05	22	00	30	2D	8E	5D	1C
2)	0.0	0	02A0	8	A2	00	74	9C	AD	28	88	0A
3)	0.0	0	0080	8	00	17	7C	0A	22	1E	22	B9
4)	0.0	0	0081	8	80	84	74	00	00	00	00	89
5)	0.0	0	018F	8	FE	35	22	00	00	43	00	10
6)	1.0	0	0329	8	40	AD	7E	8C	12	2A	00	10
7)	1.0	0	0382	8	40	FE	0F	00	00	00	00	04
8)	1.0	0	04B1	8	00	00	00	00	00	00	00	00
9)	1.0	0	0164	8	00	08	00	00	00	00	05	0D
10)	1.0	0	0370	8	FF	20	00	80	FF	00	00	EC
11)	1.0	0	043F	8	00	40	60	FF	6D	FC	09	00
12)	1.0	0	0440	8	FF	F0	00	00	FF	F8	09	00
13)	1.0	0	04F0	8	00	00	88	00	00	74	64	0D
14)	1.0	0	0545	8	C8	12	00	89	16	00	19	00
15)	1.0	0	00A0	8	53	79	6E	0A	00	21	00	02
16)	1.0	0	00A1	8	80	8A	80	80	2A	00	00	00
17)	1.0	0	0153	8	00	80	10	FF	00	FF	C0	4E
18)	2.0	0	0165	8	E9	47	80	00	00	00	05	2B
19)	2.0	0	01F1	8	00	00	00	00	00	00	00	00
20)	2.0	0	0220	8	EF	2B	FF	03	2A	01	02	10
21)	2.0	0	02B0	5	24	00	00	07	45
22)	2.0	0	0350	8	0F	2B	C4	73	75	00	00	E6
23)	3.0	0	0587	8	00	00	00	00	00	00	00	0A
24)	3.0	0	04F2	8	A0	00	A0	38	00	00	00	C5
25)	3.0	0	0316	8	45	22	7C	0A	22	1E	00	7F
26)	3.0	0	02A0	8	C2	00	74	9C	AD	28	88	0A
27)	4.0	0	0080	8	00	17	7C	0A	22	1E	22	AA
28)	4.0	0	0081	8	80	84	74	00	00	00	00	7A
29)	4.0	0	018F	8	FE	35	22	00	00	43	00	10
30)	4.0	0	0260	8	05	22	00	30	2D	8E	5F	29
31)	4.0	0	0329	8	40	AD	7E	8C	12	2A	00	10
32)	5.0	0	0370	8	FF	20	00	80	FF	00	00	A0
33)	5.0	0	043F	8	00	40	60	FF	6D	FC	09	00
34)	5.0	0	0440	8	FF	00	00	00	FF	00	0A	00
35)	5.0	0	04B0	8	00	80	00	00	00	40	00	80
36)	5.0	0	0164	8	00	08	00	00	00	00	06	0E
37)	6.0	0	0545	8	C8	11	00	89	1C	00	19	00
38)	9.0	0	0153	8	00	80	10	FF	00	FF	D0	5E
39)	9.0	0	0165	8	EA	37	80	00	00	00	06	5B
40)	9.0	0	0220	8	F0	33	07	14	2A	21	02	10
41)	9.0	0	02B0	5	23	00	00	07	06
42)	12.0	0	0316	8	45	22	76	0A	22	1E	00	7F
43)	13.0	0	018F	8	FE	34	22	00	00	43	00	10
44)	13.0	0	0080	8	00	17	76	0A	22	1E	22	FB
45)	13.0	0	0081	8	80	84	74	00	00	00	00	6B
46)	13.0	0	0260	8	05	22	00	30	2D	8E	5F	38
47)	13.9	0	02A0	8	62	00	74	9C	AD	28	88	0A
